[2024-09-09 10:28:05] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
[2024-09-09 13:24:34] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:34] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:24:41] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:41] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:24:43] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:43] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:24:44] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:44] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:24:46] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:46] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:24:47] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:47] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 13:24:49] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:49] | [INFO ] | SelectDistrictCommand:35 --> Executing SelectDistrictCommand to 327614944
[2024-09-09 13:24:50] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:24:50] | [INFO ] | SendComplaintCommand:38 --> Executing SendComplaintCommand to 327614944
[2024-09-09 13:25:34] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:25:34] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 13:25:37] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:25:37] | [INFO ] | ViewComplaintAdminCommand:41 --> Executing ViewComplaintAdminCommand to 327614944
[2024-09-09 13:25:37] | [ERROR] | ViewComplaintAdminCommand:59 --> Error on ViewComplaintAdminCommand command
